iter	Logloss
0	0.6837811954
1	0.6804064197
2	0.6741395007
3	0.6676780408
4	0.6604127905
5	0.654363559
6	0.6446558003
7	0.6410705704
8	0.6375220581
9	0.6288909568
10	0.6250377509
11	0.6219693909
12	0.6191715559
13	0.6159663147
14	0.6127904199
15	0.6094437507
16	0.6067029553
17	0.6041289388
18	0.5980969293
19	0.5906216382
20	0.5873556374
21	0.5854458432
22	0.583883729
23	0.5791025269
24	0.5754438275
25	0.567954311
26	0.5662899663
27	0.561069256
28	0.5591143399
29	0.5568577614
30	0.5527505982
31	0.5509058692
32	0.5466050262
33	0.5418180031
34	0.5391054175
35	0.5330179873
36	0.5298864911
37	0.5241410576
38	0.5203022838
39	0.5151490498
40	0.5107064344
41	0.5068607029
42	0.5021509037
43	0.4984040271
44	0.4953784125
45	0.4898380943
46	0.4837927549
47	0.4788737071
48	0.472690212
49	0.4673530458
50	0.4621929918
51	0.4586445483
52	0.450366018
53	0.4446212045
54	0.4385319144
55	0.4334811863
56	0.4297362041
57	0.4272009718
58	0.4240913477
59	0.4197188608
60	0.4156705628
61	0.4117119232
62	0.4077068871
63	0.4017940547
64	0.3976955026
65	0.3937574262
66	0.3899869897
67	0.3839117528
68	0.3809842697
69	0.3772421809
70	0.3741656232
71	0.3681172184
72	0.3663257056
73	0.3623554238
74	0.3586824645
75	0.3554943076
76	0.3530389515
77	0.3494860647
78	0.3468418853
79	0.3453464551
80	0.3434108967
81	0.3402015565
82	0.338574205
83	0.3363201753
84	0.332657687
85	0.3291787864
86	0.3271263932
87	0.3251167108
88	0.3234304596
89	0.3211318246
90	0.3173336262
91	0.3143947765
92	0.3113469798
93	0.3092282814
94	0.307640334
95	0.3064559351
96	0.3038447188
97	0.3025223364
98	0.3003382973
99	0.298721899
100	0.2968047682
101	0.2944577047
102	0.2925511483
103	0.2905152538
104	0.288417997
105	0.2869944002
106	0.2854818856
107	0.2836436149
108	0.2807754792
109	0.278419753
110	0.277271796
111	0.2746309233
112	0.2730365004
113	0.2716618661
114	0.2698545951
115	0.267972098
116	0.266982395
117	0.2659693389
118	0.264273495
119	0.2623716746
120	0.2613394503
121	0.2602906755
122	0.2580667844
123	0.2565516694
124	0.2558413262
125	0.2545407642
126	0.2535586389
127	0.2529941326
128	0.2513437551
129	0.2500030311
130	0.2480657849
131	0.2477161072
132	0.2468646461
133	0.2455573502
134	0.2441992835
135	0.2427911522
136	0.2414673058
137	0.23998617
138	0.2383905415
139	0.2380289117
140	0.2372608056
141	0.2352576676
142	0.234471926
143	0.233577823
144	0.2318317594
145	0.2299787982
146	0.2287665856
147	0.2273131084
148	0.2262285805
149	0.2255911041
150	0.2242193631
151	0.223045573
152	0.2225644906
153	0.2214300702
154	0.2203292847
155	0.2195791757
156	0.2189958973
157	0.2174520385
158	0.2167092834
159	0.215749013
160	0.214728293
161	0.2138419743
162	0.212673437
163	0.2115847413
164	0.2105664669
165	0.2095391508
166	0.2090044043
167	0.2080805587
168	0.206915483
169	0.2056998776
170	0.2045167015
171	0.2033266365
172	0.2026270744
173	0.2021884617
174	0.2017135448
175	0.2004388331
176	0.2001163147
177	0.1991599365
178	0.1986272739
179	0.1984343174
180	0.1980500404
181	0.1974843802
182	0.1965878144
183	0.1958802268
184	0.195112138
185	0.1946936063
186	0.1938575417
187	0.1935249484
188	0.1921259103
189	0.1913873401
190	0.1906570882
191	0.190066456
192	0.1893760216
193	0.1886111361
194	0.1878420311
195	0.187431921
196	0.1868239978
197	0.1863282249
198	0.1858513619
199	0.1852285587
200	0.1847063155
201	0.1840414043
202	0.1834900901
203	0.1831195564
204	0.182359717
205	0.1814332536
206	0.180870435
207	0.180187079
208	0.1796358337
209	0.1792887393
210	0.1788946285
211	0.1782160085
212	0.177086307
213	0.1767792712
214	0.1761535576
215	0.1756735774
216	0.1752581801
217	0.1747321308
218	0.1743016641
219	0.1738781552
220	0.1732823908
221	0.1730046671
222	0.172554705
223	0.1720917575
224	0.17127834
225	0.1708671621
226	0.1700769429
227	0.1693984779
228	0.1689386475
229	0.1686185402
230	0.1681741237
231	0.1678017989
232	0.1674574256
233	0.1669484261
